guid,Location,Macrolocation,Sublocation,LocationType,Macrotype,Placeholder,Map,LocatorMap,MacroPlaceholder,tags
"hGK{_4:,VQ",South Glamorgan,Wales,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-South Glamorgan.svg"" />","<img src=""locator-South Glamorgan.svg"" />","<img src=""uk_regions.svg"" />",County Wales
dE2)Ezp<hX,Gwent,Wales,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Gwent.svg"" />","<img src=""locator-Gwent.svg"" />","<img src=""uk_regions.svg"" />",County Wales
rwvO@5E5Lz,County Armagh,Northern Ireland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-County Armagh.svg"" />","<img src=""locator-County Armagh.svg"" />","<img src=""uk_regions.svg"" />",County NorthernIreland
j)|b<&<q`S,County Down,Northern Ireland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-County Down.svg"" />","<img src=""locator-County Down.svg"" />","<img src=""uk_regions.svg"" />",County NorthernIreland
kDu60sc;3B,County Antrim,Northern Ireland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-County Antrim.svg"" />","<img src=""locator-County Antrim.svg"" />","<img src=""uk_regions.svg"" />",County NorthernIreland
nT;W|*}HTC,County Londonderry,Northern Ireland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-County Londonderry.svg"" />","<img src=""locator-County Londonderry.svg"" />","<img src=""uk_regions.svg"" />",County NorthernIreland
"papfz27t,t",County Tyrone,Northern Ireland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-County Tyrone.svg"" />","<img src=""locator-County Tyrone.svg"" />","<img src=""uk_regions.svg"" />",County NorthernIreland
uBJRaAnz}0,County Fermanagh,Northern Ireland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-County Fermanagh.svg"" />","<img src=""locator-County Fermanagh.svg"" />","<img src=""uk_regions.svg"" />",County NorthernIreland
ly[z0h#y{P,Aberdeenshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Aberdeenshire.svg"" />","<img src=""locator-Aberdeenshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
d6oPXD373a,Aberdeen City,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Aberdeen City.svg"" />","<img src=""locator-Aberdeen City.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
q:G@1I4QeV,Angus,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Angus.svg"" />","<img src=""locator-Angus.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
kVsp&<529<,Argyll and Bute,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Argyll and Bute.svg"" />","<img src=""locator-Argyll and Bute.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
p]svu8GE+Y,City of Edinburgh,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-City of Edinburgh.svg"" />","<img src=""locator-City of Edinburgh.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
fXk@]RG7qz,Clackmannanshire,Scotland,,County,Region,"<img src=""uk_counties.svg"" />","<img src=""c-Clackmannanshire.svg"" />","<img src=""locator-Clackmannanshire.svg"" />","<img src=""uk_regions.svg"" />",County Scotland
