guid,location,macrolocation,city,county,region,bow,tags
6;]RQG0$v3,Newcastle upon Tyne,Tyne and Wear,Newcastle upon Tyne,,,,"City, England"
"6;cn#,g6)",Norwich,Norfolk,Norwich,,,,"City, England"
6[$=v~Sm8D,Bath,Somerset,Bath,,,,"City, England"
6[<PKxrpms,Aberdeen,Scotland,,Aberdeen,,,"County, Scotland"
6Bcp~`]_c),Swansea,West Glamorgan,Swansea,,,,"City, Wales"
6IQ&Z1MKmD,Dundee,Dundee,Dundee,,,,"City, Scotland"
"7$bL1NE7E,",Derby,Derbyshire,Derby,,,,"City, England"
72ISpU(o1`,York,North Yorkshire,York,,,,"City, England"
7;3(yD!}jB,City of Westminster,Greater London,City of Westminster,,,,"City, England"
7?Yk3.YE$0,Lincoln,Lincolnshire,Lincoln,,,,"City, England"
7[iT6T*XHs,Oxfordshire,South East,,Oxfordshire,,,"County, England"
7jU`/XDKyi,Hampshire,South East,,Hampshire,,,"County, England"
7KJ_IYY09+,Dundee,Scotland,,Dundee,,,"County, Scotland"
7oc-zW6eh],County Antrim,Northern Ireland,,County Antrim,,,"County, NorthernIreland"
7tFFY0ljZ@,Bedfordshire,East of England,,Bedfordshire,,,"County, England"
7~qCT/.{J`,Devon,South West,,Devon,,,"County, England"
8/MwxKA{)T,North Ayrshire,Scotland,,North Ayrshire,,,"County, Scotland"
840E7ol(.+,Tyne and Wear,North East,,Tyne and Wear,,,"County, England"
8:82_UAiYs,Durham,County Durham,Durham,,,,"City, England"
8JgtC<TW1M,South East,,,,South East,,"Region, England"
8LJr=;unkR,Lancashire,North West,,Lancashire,,,"County, England"
8P@Im*:G5h,Sunderland,Tyne and Wear,Sunderland,,,,"City, England"
8Tu?(*N(<1,South Lanarkshire,Scotland,,South Lanarkshire,,,"County, Scotland"
8vyw]1EB=n,North Channel,,,,,North Channel,BoW
8yQ&T^q$f8,Canterbury,Kent,Canterbury,,,,"City, England"
"9*b~`T^q,@",Glasgow,Scotland,,Glasgow,,,"County, Scotland"
96mBI5Kn1t,St Asaph,Clwyd,St Asaph,,,,"City, Wales"
9e_9Q/.d}@,City of London,London,,City of London,,,"County, England"
9JaD?`sI(%,Stoke-on-Trent,Staffordshire,Stoke-on-Trent,,,,"City, England"
9uBf4oTTeN,Lincolnshire,East Midlands,,Lincolnshire,,,"County, England"
9y$m]J7Sx{,County Down,Northern Ireland,,County Down,,,"County, NorthernIreland"
9yQ+pgUZ+A,County Armagh,Northern Ireland,,County Armagh,,,"County, NorthernIreland"
"9ZAkG:,=fB",North Sea,,,,,North Sea,BoW
9|q#D0Av/U,Liverpool,Merseyside,Liverpool,,,,"City, England"
:[3T[)jl(#,Renfrewshire,Scotland,,Renfrewshire,,,"County, Scotland"
:`g).pkAkW,Lisburn,County Antrim / County Down,Lisburn,,,,"City, NorthernIreland"
:eUZI@RSa),City of London,City of London,City of London,,,,"City, England"
:fPt*k%~M(,Aberdeen,Aberdeen,Aberdeen,,,,"City, Scotland"
:fqG;gkI0@,St Albans,Hertfordshire,St Albans,,,,"City, England"
:gf~=.(g2z,Scotland,,,,Scotland,,"Region, Scotland"
:OqVF#.gmy,Bristol Channel,,,,,Bristol Channel,BoW
:pq<fu+W.k,Southampton,Hampshire,Southampton,,,,"City, England"
:q_-Y`!FlG,Yorkshire and the Humber,,,,Yorkshire and the Humber,,"Region, England"
:qMF=!p0S$,Bangor (Wales),Gwynedd,Bangor (Wales),,,,"City, Wales"
:XW7_bloT$,London,,,,London,,"Region, England"
:~5YSt`p^-,Gwent (county),Wales,,Gwent (county),,,"County, Wales"
;+?7VH}tAM,St Davids,Dyfed,St Davids,,,,"City, Wales"
;/ZR/k5*b1,Belfast,County Antrim / County Down,Belfast,,,,"City, NorthernIreland"
;<Z4[zrAX~,Falkirk,Scotland,,Falkirk,,,"County, Scotland"
;B/78-c<zO,Cheshire,North West,,Cheshire,,,"County, England"
";C1iA4,n`j",Shetland Islands,Scotland,,Shetland Islands,,,"County, Scotland"
;f_<G([>=3,Glasgow,Glasgow,Glasgow,,,,"City, Scotland"
;L)n$2$b*k,East Riding of Yorkshire,Yorkshire and the Humber,,East Riding of Yorkshire,,,"County, England"
"<,%1w~C_x*",West Dunbartonshire,Scotland,,West Dunbartonshire,,,"County, Scotland"
<[8d=W^vU[,Edinburgh,Edinburgh,Edinburgh,,,,"City, Scotland"
"<ciP3,:m4p",Bristol,Bristol,Bristol,,,,"City, England"
<I%+S1Fm$),Buckinghamshire,South East,,Buckinghamshire,,,"County, England"
<jcvI!bH_c,Leeds,West Yorkshire,Leeds,,,,"City, England"
<L$L@nQMoq,South West,,,,South West,,"Region, England"
<lq]h;QLq},North Yorkshire,Yorkshire and the Humber,,North Yorkshire,,,"County, England"
<u>>DorL{|,Brighton and Hove,East Sussex,Brighton and Hove,,,,"City, England"
"<uB,qWin6?",Fife,Scotland,,Fife,,,"County, Scotland"
=Dy%7XFV!s,Wales,,,,Wales,,"Region, Wales"
=I]#oH4xjB,Newport,Gwent (county),Newport,,,,"City, Wales"
"=kqE<uxF,A",Gloucestershire,South West,,Gloucestershire,,,"County, England"
=yoj3gC/#`,Edinburgh,Scotland,,Edinburgh,,,"County, Scotland"
=|rj<k%P&,Salford,Greater Manchester,Salford,,,,"City, England"
`[A^|uQXR,Norfolk,East of England,,Norfolk,,,"County, England"
cZ?<mZ(0&,Berkshire,South East,,Berkshire,,,"County, England"
h%1&W{xrb,West Midlands,,,,West Midlands,,"Region, England"
kYJjVThwb,Worcestershire,West Midlands,,Worcestershire,,,"County, England"
l*JvUQC-U,East Dunbartonshire,Scotland,,East Dunbartonshire,,,"County, Scotland"
lwB[5E@5Ew,Dunfermline,Fife,Dunfermline,,,,"City, Scotland"
mo}6u6*1];,Doncaster,South Yorkshire,Doncaster,,,,"City, England"
oEO/mSP{vM,Colchester,Essex,Colchester,,,,"City, England"
ojXwNa~7aa,Wrexham,Clwyd,Wrexham,,,,"City, Wales"
qfZgds*BDO,Milton Keynes,Buckinghamshire,Milton Keynes,,,,"City, England"
r]eFsyk&=,Stirling (council area),Scotland,,Stirling (council area),,,"County, Scotland"
sz7^%6`]9,Stirling,Stirling (council area),Stirling,,,,"City, Scotland"
t8_V.f9m8#,Southend-on-Sea,Essex,Southend-on-Sea,,,,"City, England"
tw-Wyb`DA!,Bangor (Northern Ireland),County Down,Bangor (Northern Ireland),,,,"City, NorthernIreland"
x1H7]H[jXM,River Severn,,,,,River Severn,BoW
YsiUdkEyK,Salisbury,Wiltshire,Salisbury,,,,"City, England"
YS{ve|^rF,County Durham,North East,,County Durham,,,"County, England"
